character	dialogue_line	episode
SKYLER	You want me to go ask for another?	E309
SKYLER	"A “warning call?”  What do you mean? BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      11."	E309
SKYLER	Are we safe?	E309
SKYLER	Are you safe?	E309
SKYLER	"You’ve got all these nice tulips there, and good baby’s breath... BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      15."	E309
SKYLER	Wow, look at the size of this basket.  It’s got so many goodies in it!  Look.  Chocolate-covered pretzels and, uh, cheese sticks and some fancy designer olives...	E309
SKYLER	No.  He’s great.	E309
SKYLER	"Thank God. Marie’s already racing ahead to the next logical step. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      18."	E309
SKYLER	When does he start physical therapy? The Hospital Administrator speaks up.  She thinks she’s delivering good news to Marie.	E309
SKYLER	Actually -- she asked the doctor. Both sisters turn to the man, who tries to remain politic.	E309
SKYLER	So what?  We’re just supposed to compromise on his care?	E309
SAUL	"Hey... there he is!  Finally!  I went ahead and started without you. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      21."	E309
SAUL	Ladies, this is Jesse-San.  He’s in for the full treatment. (to Jesse) Hey, kick off your shoes, lay back... exfoliate.	E309
SAUL	So, where’s the maestro?  He out parking the mini-van? The mention of Walt just annoys Jesse.	E309
SAUL	Hmm.  I was gonna have you two flip a coin.  Since the genius can’t be bothered... (screw it) Today’s your lucky day.  Look around, kiddo, it’s all yours.	E309
SAUL	Yeah.  You are now owner of this fine establishment.	E309
SAUL	"“Free?”  Oh ladies, cover your ears! (back to Jesse) BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      22."	E309
SAUL	Don’t you get it?  On the outside it’s a nail salon, right -- on the inside it’s the best money laundry a growing boy could ask for. Jesse squints at the lawyer, shakes his head and snorts -- ridiculous.  He turns and heads for the door.	E309
SAUL	Wait, wait, wait!  Hey!  Ladies, thank you, good job.  Come back here. The women drift away, busying themselves elsewhere -- texting and what-not.  Saul pulls out his toe spacers and dries off.	E309
SAUL	Sit.  Come on, come on.  Humor me for a second.  Now... you know you need to launder your money, right? (Jesse stubbornly stares) Do you understand the basics of it? Placement?  Layering?  Integration? Jesse lingers impatiently, ready to leave at any second.	E309
SAUL	"You wanna stay out of jail, dontcha?  You wanna keep your money and your freedom?  Because I’ve got three little letters for you:  I--R- -S.  If they can get Capone, they can get you. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      23."	E309
SAUL	Hey look.  Here’s you, right? Pink, Pinkman -- get it? Saul dumps cotton balls out of a clear plastic container to represent money.  He’s trying a little too hard to keep his explanation on Jesse’s level.	E309
SAUL	‘Kay.  Here’s your cash.  You’re out on the town, yeah, you’re “partying hearty,” you’re knockin’ boots with the chicky babes.  And -- uhh -- Who’s this? He hovers the open side of the plastic box threateningly over the pink nail polish and the cotton balls.	E309
SAUL	It’s the Tax Man.  And he’s looking at you.  Now what does he see?  He sees a young fella with a big fancy house, unlimited cash supply and no job.  Now what is the conclusion the Tax Man makes?	E309
SAUL	Bzzt!  Wrong!  Million times worse - - you’re a tax cheat!  What do they do? THUD!  Saul slams the box down, trapping the cotton balls.	E309
SAUL	They take every penny!  And you go in the can for felony tax evasion! He stomps open a pedal-style trash can and swipes the nail polish right into it.  He lets the lid close with a CLANG.	E309
SAUL	"Ouch!  What was your mistake?  You didn’t launder your money.  Now, you give me your money -- that’s called placement.  Hand me that little thing... BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      24."	E309
SAUL	This is the nail salon, right?  I take your dirty money and I slip it into this salon’s nice, clean cash flow.  That’s called layering. In spite of himself, Jesse grows interested.  But that doesn’t mean he’s buying it.	E309
SAUL	Final step: integration.  The revenues from the salon go to the owner -- that’s you. Saul spills out Q-Tips mixed with cotton balls.  With pride:	E309
SAUL	Your filthy drug money has been transformed into nice clean, taxable income brought to you by a savvy investment in a thriving business. Logically it makes sense, but playing by the rules -- even criminal rules -- rubs Jesse the wrong way.	E309
SAUL	Yeah, and if you want to stay a criminal and not become -- say, a convict -- then maybe you should grow up and listen to your lawyer. Now Jesse sees Saul’s angle.  This is all a sales job.	E309
SAUL	No, that’s seventeen percent.	E309
SAUL	Yeah, that was for your partner. Privileges of seniority and all -- but for you it’s the usual seventeen percent, and... that’s a bargain. But as soon as Saul starts talking about Walt, Jesse’s already on his way out.  Saul calls after Jesse.	E309
SAUL	Hey, what?  Hey...  Listen to it! Come on!  I’m talking about your future here!  Listen to reason! Off Jesse, out the door and gone...	E309
GUS	How is your brother-in-law?	E309
GUS	"Good.  I’m glad. (off his silence) Walter, you seem troubled.  How can I help you? Carefully controlling his voice, Walt gets down to business. He’s meticulously planned every word.  He speaks them softly. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      27."	E309
GUS	Well, that’s the best way to do business.	E309
GUS	What would you like to happen?	E309
GUS	Then you have it. But what does that mean, exactly?	E309
GUS	"Three million for three months, that was our agreement.  Extended annually, twelve million a year. (then) Call it fifteen.  Open-ended. Would that be agreeable? Once Walt would have jumped at it.  Now, he simply nods yes. Walt has his 30 pieces of silver.  By extending, he assures his continuing usefulness to Gus.  But at what cost? BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      29."	E309
SKYLER	They’ll say they’re not denying coverage. (before Marie can argue) No-no.  I’m agreeing with you.  But I went through all this with Walt. You’ll burn through your savings, and then what?	E309
SKYLER	What?  No!  No-no-no, you should rest.  Look.  Why don’t you go in and take a long bath?  I put fresh sheets on the bed.	E309
SKYLER	"With all they’re giving him, he’ll sleep till morning. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      35."	E309
SKYLER	Hey!  Wh... what are you doing here? Not the warmest of receptions.  Ted was already a bit nervous about trying this -- he’s not shocked by her reaction. Still, onward and upward.  Putting an innocent face on it:	E309
SKYLER	Um, Marie, this is Ted.  My boss.	E309
SKYLER	"It was.  It was really nice.  Thank you. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      36."	E309
SKYLER	-- cheese sticks... very good. Marie, nodding, gives a big thumbs-up.  Ted probably doesn’t follow this completely, but he plays along well.	E309
SKYLER	(recovering) Of yeah.  You should.  I’m sorry. Come on in, Ted.	E309
SKYLER	Thanks for stopping by.  But, it’s... actually, not the best time for a visit.  So...	E309
SKYLER	I’m so sorry, you gave me and that time off and I really should have --	E309
SKYLER	Ted, it’s just... this whole thing with Hank has been one non-stop horror show, you know?  So...	E309
SKYLER	"Thank you. (a pregnant pause; then) But I really do need you to... ... Leave.  As in now.  Ted hesitates, not wanting to. Furthermore, he doesn’t get why he even needs to.  Meanwhile, Skyler steps a few feet over to glance down the hall and check if Marie is eavesdropping (no sign of it).  That rubs Ted a little wrong, as well. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      38."	E309
SKYLER	Okay.	E309
SKYLER	Let’s talk about this later, Ted, okay?	E309
SKYLER	Later, Ted.  Not now.	E309
SKYLER	(frustrated; snaps) You really wanna do this now? Are you really gonna make me do this right now? Ouch.  Ted gets it.  We do, too.  She’s talking about breaking up with him.  He’s hurt.  And Skyler deeply regrets having let him know in this manner.  But the damage is done.	E309
SKYLER	"Ted, I’m...  I’ll see you in a day or two?  Back at the office? BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      39."	E309
SKYLER	Jesus.	E309
SKYLER	Walt?  We can always pay their bills. Walt blinks, confused.  Marie frowns, breaking a smile and lifting an eyebrow.  It’s unlike her sister to talk nonsense.	E309
SKYLER	-- We have the money.  More than enough. (then) Walt earned it. Marie glances over at Walt, but he’s blank with confusion -- and PANIC.  What is Skyler doing?!? Suddenly Walt knows with terrible certainty where this is headed -- Skyler is about to tell Marie everything.  Walt steps over to sit next to her, on her opposite side.	E309
SKYLER	"I think Marie should know the truth. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      46."	E309
SKYLER	(to Marie; coolly, simply) He earned it gambling. Gambling?  Now Walt’s simply mystified.  Marie glances from one to the other -- hooked and wanting to hear more.	E309
SKYLER	Walt and I, uh, we’ve had our problems lately.  You know that. And, uh... what it came down to, really, was money.  Pure and simple. Skyler glances at Walt with... is that a touch of empathy?	E309
SKYLER	When Walt was diagnosed -- it, um, it changed him.  Looking back, I don’t think I ever really understood what it was that he was going through.  It was more than facing death.  It was knowing that he was going to leave behind... nothing.  And so that’s how this all started.  For better or worse, he wanted to provide. (then) And so he paid his medical bills the only way he knew how. Walt’s stunned:  this is exactly how he would have explained it himself.  Marie can’t help asking the obvious question.	E309
SKYLER	"Yeah,  thought so, too.  The truth is, he never took their money -- not a dime.  He was too proud to take what he considered to be charity. (to Walt) Isn’t that right? Walt manages a numb nod.  However, Skyler isn’t coming down hard on him here -- she’s simply telling a story. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      47."	E309
SKYLER	So, he put his mind to it, and uh... well, you know how Walt is, he’s-he’s a problem solver.  And he read books and he did a whole bunch of research... and he came up with this system.	E309
SKYLER	A system for counting cards in Blackjack.	E309
SKYLER	Well... no... I don’t pretend to understand, you know, all the details, but he was convinced that if he put enough money into it, he’d have a, um... uh -- (to Walt) God...  What is it?  A “statistical edge?” Walt takes a second to catch up with her.  Barely audible:	E309
SKYLER	"So he, every spare minute, Walt was at some card table somewhere.  At first he went to casinos, but then he realized that... VOICES approach nearby, a pair of NURSES.  Skyler pauses. When they’ve passed by, she continues, her voice lower.  Walt and Marie lean forward, they don’t want to miss a word. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      48."	E309
SKYLER	-- No, no he did not fake that, Marie.  The night that Walt disappeared?  He lost fourteen thousand dollars.  It was his pension fund, our savings. Basically every last dime we had to our name.  Gone. Marie stares open-mouthed at Walt -- whose own mind is racing.  He’s astounded by the complexity, the inventiveness of Skyler’s lie.  But he’s also trying to understand where the lie ends and the truth begins.	E309
SKYLER	"He couldn’t live with it.  He was suicidal. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      49."	E309
SKYLER	Anyway.  This system of his -- he finally got it to work. In the middle of this emotional roller coaster ride, Walt is beginning to nurse a faint flicker of hope.  After all, Skyler’s proposing to use his drug money for the family -- and that’s a first step towards accepting what he’s done.	E309
SKYLER	So all this is to say... we have the money. (a meaningful look to him) No more gambling -- but we have the money.	E309
SKYLER	Walt..?	E309
SKYLER	Marie, you will take our money. Use it to take care of Hank. Marie is still trying to assimilate all that she’s heard. It’s a gigantic shift in perception.  Walt did this?  Good old reliable, cancer-saint Walt? Hearing this story, she’s got every reason to be angry at him... but hell, I guess he meant well, after all. Sky looks to Walt.  Taking her cue, he makes an earnest plea.	E309
SKYLER	Absolutely not, and I need to keep it that way. (then) And Hank, okay?  Hank’s got enough on his mind, right now.  So, can we just please keep this between us? Walt can’t help but stare at Skyler with admiration:  my God, she’s thought of everything!  Marie nods, agreeing with Sky.	E309
SKYLER	"Yeah, okay.  We’ll talk about it later. Marie exits, leaving Walt and Skyler by themselves.  It takes him a moment to even form the words, but finally: BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      51."	E309
SKYLER	(staring at him; a beat) I learned from the best. She means Liar Walt, of course.  Walt doesn’t quite know how to take this.  It doesn’t exactly sound like a compliment. Skyler leans in close and lowers her voice.	E309
SKYLER	Somehow, something tells me that Hank is here because of you.  And I’m not forgetting that. Damn right they’ll use the money for Hank’s recovery.  As far as Skyler’s concerned, that’s the only use for this blood money.  She pierces him with a knowing glance and follows Marie without looking back. Forgiveness and understanding are still distant hopes. NEW ANGLE -- looking into the waiting room from up the hall. Walt is framed in the doorway, watching Skyler disappear. Quietly devastated.	E309
SKYLER	"Hank, he just wants to be supportive-- But Walt Jr. softly interrupts his mom and aunt... BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      6."	E311
SKYLER	I am. Skyler holds out a hand -- let’s have it.  Marie reluctantly produces a folded piece of paper, hands it over.  It’s Hank’s	E311
SKYLER	Yeah... Skyler nods... but not a confident one, as the enormity of the situation hits her.  Off her well-faked smile... AN ABSTRACT IMAGE.  A wavy SEA OF BLUE.  We are in...	E311
SKYLER	No.  Your Dad is. Really?  Off Junior, smiling at this unexpected surprise... INT. WHITE HOUSE - DINING ROOM - NIGHT Two hours later.  Empty sauce-smeared plates tell us that the dinner is well over, as we find Walt in his old chair with baby Holly cradled against his body.	E311
SKYLER	Mmm.	E311
SKYLER	Ah.  A “’Stang,” mm-hmm?	E311
SKYLER	Well, I think this is um... we should probably table this discussion for later.  Your Dad and I have a couple things to talk about, so... Junior sighs.  He gets up, gathering his crutches and heading to his room.	E311
SKYLER	"What is “Ice Station Zebra Associates?” Walt wasn’t expecting questions, so he’s a little thrown. BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      16."	E311
SKYLER	Whose loan-out?	E311
SKYLER	Ohhh-kay... um, does your “guy” know the tax code and regulations for New Mexico?  Cause, there’s very specific paperwork that has to be submitted quarterly on this.	E311
SKYLER	Who is he?  What’s his name?  What are his qualifications?  Walt, this... (lowers her voice) ... money has to be unimpeachable when it reaches Hank and Marie.	E311
SKYLER	But, how do I know that?  I mean, apparently you can’t even tell me the man’s name. Exasperated, Walt thinks he can call her bluff.	E311
SAUL	Hell.  Welcome.  What a pleasure it is to have you!  I’m just gonna call you Skyler, if that’s okay. It’s a lovely name.  Reminds me of a... big beautiful sky.  Walt never told me lucky how lucky he was... prior to recent unfortunate events. Walt watches nervously as his two worlds collide -- Saul fawning over the tall-drink-of-water that is Skyler, and Skyler uneasy that she might accidentally pick up a social disease from the charged and shifty shyster that is Saul.	E311
SAUL	Clearly his taste in women is the same as his taste in lawyers: only very best with just the right amount of dirty. (laughs; off her stare) That’s a joke.  That’s a joke. It’s funny because you are so clearly very classy.  Here, please, sit down. Saul pulls out a chair for her.  When she’s not looking, Saul gives a quick eyebrow-raise of approval to Walt for landing such a looker.  Walt tries not to notice, taking his own seat as Saul rounds to the business side of his desk.	E311
SAUL	"So.  Walt tells me that you have, uh, some concerns I can alleviate. BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      18."	E311
SKYLER	Uh, yes I do.  I have... concerns. No shit.  Glancing sidelong at Walt, you don’t have to be Kreskin to read her mind.  How the fuck did you end up with THIS guy?  Yet Skyler politely presses forward...	E311
SKYLER	Um, if we’re going to go down this road... and clearly we are, for the sake of my brother-in-law...	E311
SAUL	I’ve heard about him.  Uh, he’s an American hero. Nodding, Saul gives out with the cheesy sympathy like a discount undertaker.  Skyler pauses flatly, then continues.	E311
SKYLER	At any rate, I need some assurances that we’re gonna go about this in a manner that is extremely safe and cautious.	E311
SAUL	Fair enough.  I’ll walk you through the process.  First step is something we like to call “money laundering.”  Alright, take you’re money were represented by say... these jelly beans.	E311
SKYLER	Y’know, I’m a bookkeeper -- so I actually, I know what money laundering is.	E311
SAUL	"Uh-huh. (takes away jelly beans) Well. BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      19."	E311
SKYLER	And as with most things, the Devil is in the details.  So to begin with, what are we saying is the source of this money?	E311
SAUL	That’s simple.  Walt here came up with a great story about gambling winnings.  Blackjack, right?  Some card-counting system?	E311
SAUL	Well.  You grow more gorgeous by the minute! (then; shrugs) Well, there you have it.  I’ll generate false Currency Transaction Reports out the wazoo, as well as the necessary W-2Gs.  I know a couple casino managers who will jump at the chance to report false losses.  So, win-win for everyone.	E311
SKYLER	But you can’t sell that for very long --	E311
SAUL	(interrupts) Yeah, yeah.  Way ahead of you.  Uh, we declare just enough so as not to arouse suspicion.  Then, Walt’s one- time winnings become seed money for investment.	E311
SKYLER	Investment in what?	E311
SAUL	"Drum roll please... wait for it... (beaming) x. Crickets.  Off their non-reaction: BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      20."	E311
SAUL	Laser Tag!  Seven thousand square feet of rollicking fun in the heart of northern Bernalillo County! Skyler is stone-faced.	E311
SKYLER	Laser Tag.	E311
SAUL	Yeah.  There’s guns and glo-lites, and kids wear the vests and runa round in teams--	E311
SKYLER	(interrupts) Yeah, I actually know what it is. It just that... in relation to Walt, it’s, I mean, it doesn’t make any sense. Walt is a silent, sick observer as these two go at it. Saul’s patience rapidly frays as she questions his methods. Trying to sound like he’s joking:	E311
SAUL	Makes more sense than you two being together!  I’m still trying to figure out how that happened...	E311
SKYLER	Do you even know Walt?  I mean, how would he, of all people, buy a Laser Tag business?  It-it doesn’t add up.	E311
SAUL	It adds up perfectly.  Walt’s a scientist.  Scientists love lasers! Skyler stares at him flatly.  The wind leaves Saul’s sails.	E311
SAUL	Plus, they got bumper boats.  So.	E311
SKYLER	"“Hey everybody, Walt suddenly decided to invest in laser tag! Just out of the blue!”  Really? That’s what we’re supposed to tell people -- our family, our friends... the government... BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      21."	E311
SAUL	Okay.  Let me bottom line this for you.  You don’t need to be involved.  Okay?  Because I’ve been doing this for a lot of years, successfully -- believe it or not, without your help! (smiles) So.  Thank you for stopping by. Saul is done.  Skyler stares at him -- they’re at stalemate. Off Walt, not wanting to make a move to remind either of them that he’s sitting there...	E311
SKYLER	Safe and cautious, that’s all I’m asking -- and that man is neither. Walt sighs.	E311
SKYLER	Well, it’s a little late on that. This is what happens when you decide to pay our bills with drug money. Walt considers her.  Screw it -- he makes a big confession.	E311
SKYLER	"If you’re gonna launder money Walt, at least do it right. Skyler climbs out.  After a beat, Walt joins her to look at: BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      26."	E311
SKYLER	You worked here four years.  It’s a business you understand.  It’s a story people will believe.  Not Laser Tag.  This.  This is what we buy. Walt looks at her... what we buy?	E311
SKYLER	You.  This is what you buy. She corrects herself without urging, but still... Skyler is at a level of acceptance Walt would have never dreamed could happen.  Off Walt, eyeing this possible business venture, and an uneasy new stage in their relationship...	E311
SAUL	"That’s it?  That’s what you wanna buy? NEW ANGLE -- the Caddy is Saul’s, of course.  And here he is behind the wheel, Walt seated beside him. The wary look in his eyes tells us Saul isn’t loving the idea.  For his part, Walt probably isn’t doing the world’s greatest job selling it -- this is Skyler’s plan, after all. However, being a good devil’s advocate, Walt shrugs. BREAKING BAD #311          ""Abiquiu""         AS BROADCAST      31."	E311
